year,farm_resource_region,crop,stat,estimate
2009,Heartland,"Specialty Crops (F,V,N)",evtot,90427
2010,Heartland,General Cash Grains,evtot,193652
2010,Heartland,Soybean,evtot,78104
2010,Heartland,Other Field Crops,evtot,5184
2010,Heartland,Wheat,evtot,NA
2010,Heartland,Corn,evtot,159535
2010,Heartland,"Tobacco, Cotton, Peanuts",evtot,137473
2010,Heartland,"Specialty Crops (F,V,N)",evtot,79710
2011,Heartland,Corn,evtot,182252
2011,Heartland,General Cash Grains,evtot,219164
2011,Heartland,Wheat,evtot,9181
2011,Heartland,Soybean,evtot,70716
2011,Heartland,"Tobacco, Cotton, Peanuts",evtot,796185
2011,Heartland,Other Field Crops,evtot,4834
2011,Heartland,"Specialty Crops (F,V,N)",evtot,61638
2012,Heartland,Wheat,evtot,74873
2012,Heartland,Corn,evtot,189189
2012,Heartland,Soybean,evtot,116190
2012,Heartland,"Tobacco, Cotton, Peanuts",evtot,105071
2012,Heartland,General Cash Grains,evtot,237250
2012,Heartland,Other Field Crops,evtot,9913
2012,Heartland,"Specialty Crops (F,V,N)",evtot,77597
2013,Heartland,General Cash Grains,evtot,272784
2013,Heartland,"Tobacco, Cotton, Peanuts",evtot,248451
2013,Heartland,Other Field Crops,evtot,9051
2013,Heartland,"Specialty Crops (F,V,N)",evtot,37093
2013,Heartland,Wheat,evtot,43718
2013,Heartland,Corn,evtot,210567
2013,Heartland,Soybean,evtot,81712
2014,Heartland,General Cash Grains,evtot,238163
2014,Heartland,Wheat,evtot,11426
2014,Heartland,Corn,evtot,191553
2014,Heartland,Other Field Crops,evtot,8056
2014,Heartland,"Specialty Crops (F,V,N)",evtot,66164
2014,Heartland,Soybean,evtot,102816
2014,Heartland,"Tobacco, Cotton, Peanuts",evtot,177954
2015,Heartland,Wheat,evtot,NA
2015,Heartland,Soybean,evtot,86847
2015,Heartland,Other Field Crops,evtot,6548
2015,Heartland,General Cash Grains,evtot,231730
2015,Heartland,Corn,evtot,181678
2015,Heartland,"Tobacco, Cotton, Peanuts",evtot,523869
2015,Heartland,"Specialty Crops (F,V,N)",evtot,95886
2016,Heartland,General Cash Grains,evtot,204890
2016,Heartland,Other Field Crops,evtot,6990
2016,Heartland,Corn,evtot,188625
2016,Heartland,Soybean,evtot,100440
2016,Heartland,"Tobacco, Cotton, Peanuts",evtot,NA
2016,Heartland,"Specialty Crops (F,V,N)",evtot,105301
2017,Heartland,General Cash Grains,evtot,238398
2017,Heartland,Soybean,evtot,106550
2017,Heartland,"Tobacco, Cotton, Peanuts",evtot,414720
2017,Heartland,"Specialty Crops (F,V,N)",evtot,155918
2017,Heartland,Wheat,evtot,NA
2017,Heartland,Corn,evtot,189366
2017,Heartland,Other Field Crops,evtot,8112
2018,Heartland,General Cash Grains,evtot,226055
2018,Heartland,Soybean,evtot,89703
2018,Heartland,"Tobacco, Cotton, Peanuts",evtot,335332
2018,Heartland,Wheat,evtot,NA
2018,Heartland,Corn,evtot,197602
2018,Heartland,Other Field Crops,evtot,5973
2018,Heartland,"Specialty Crops (F,V,N)",evtot,38447
1996,Mississippi Portal,General Cash Grains,evtot,160724
1996,Mississippi Portal,Wheat,evtot,NA
1996,Mississippi Portal,Corn,evtot,102799
1996,Mississippi Portal,Soybean,evtot,56801
1996,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,180155
1996,Mississippi Portal,Other Field Crops,evtot,12561
1996,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,88933
1997,Mississippi Portal,Wheat,evtot,NA
1997,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,132494
1997,Mississippi Portal,Other Field Crops,evtot,14460
1997,Mississippi Portal,General Cash Grains,evtot,135802
1997,Mississippi Portal,Corn,evtot,59805
1997,Mississippi Portal,Soybean,evtot,62503
1997,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,33604
1998,Mississippi Portal,Wheat,evtot,NA
1998,Mississippi Portal,Corn,evtot,114916
1998,Mississippi Portal,Soybean,evtot,42966
1998,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,125381
1998,Mississippi Portal,General Cash Grains,evtot,208159
1998,Mississippi Portal,Other Field Crops,evtot,26434
1998,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,34218
1999,Mississippi Portal,General Cash Grains,evtot,176377
1999,Mississippi Portal,Soybean,evtot,67602
1999,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,158359
1999,Mississippi Portal,Wheat,evtot,94612
1999,Mississippi Portal,Corn,evtot,60321
1999,Mississippi Portal,Other Field Crops,evtot,19323
1999,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,NA
2000,Mississippi Portal,Wheat,evtot,NA
2000,Mississippi Portal,Corn,evtot,39611
2000,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,115954
2000,Mississippi Portal,Other Field Crops,evtot,22511
2000,Mississippi Portal,General Cash Grains,evtot,179898
2000,Mississippi Portal,Soybean,evtot,46674
2000,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,71416
2001,Mississippi Portal,General Cash Grains,evtot,216330
2001,Mississippi Portal,Wheat,evtot,NA
2001,Mississippi Portal,Corn,evtot,210066
2001,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,211891
2001,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,62371
2001,Mississippi Portal,Soybean,evtot,78102
2001,Mississippi Portal,Other Field Crops,evtot,16280
2002,Mississippi Portal,General Cash Grains,evtot,184047
2002,Mississippi Portal,Corn,evtot,121556
2002,Mississippi Portal,Other Field Crops,evtot,39824
2002,Mississippi Portal,Wheat,evtot,21615
2002,Mississippi Portal,Soybean,evtot,89982
2002,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,174018
2002,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,73039
2003,Mississippi Portal,Corn,evtot,291005
2003,Mississippi Portal,Soybean,evtot,137179
2003,Mississippi Portal,General Cash Grains,evtot,245252
2003,Mississippi Portal,Wheat,evtot,NA
2003,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,219070
2003,Mississippi Portal,Other Field Crops,evtot,18411
2003,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,55199
2004,Mississippi Portal,General Cash Grains,evtot,284023
2004,Mississippi Portal,Wheat,evtot,NA
2004,Mississippi Portal,Corn,evtot,205666
2004,Mississippi Portal,Soybean,evtot,112039
2004,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,312609
2004,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,249953
2004,Mississippi Portal,Other Field Crops,evtot,21854
2005,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,418289
2005,Mississippi Portal,Other Field Crops,evtot,18240
2005,Mississippi Portal,General Cash Grains,evtot,309263
2005,Mississippi Portal,Corn,evtot,257968
2005,Mississippi Portal,Soybean,evtot,105571
2005,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,91605
2006,Mississippi Portal,General Cash Grains,evtot,295555
2006,Mississippi Portal,Wheat,evtot,34826
2006,Mississippi Portal,Other Field Crops,evtot,13839
2006,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,115435
2006,Mississippi Portal,Corn,evtot,190652
2006,Mississippi Portal,Soybean,evtot,103581
2006,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,512076
2007,Mississippi Portal,General Cash Grains,evtot,362609
2007,Mississippi Portal,Soybean,evtot,251362
2007,Mississippi Portal,Other Field Crops,evtot,14707
2007,Mississippi Portal,Wheat,evtot,NA
2007,Mississippi Portal,Corn,evtot,287732
2007,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,556894
2007,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,114221
2008,Mississippi Portal,Corn,evtot,382780
2008,Mississippi Portal,Soybean,evtot,135942
2008,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,171582
2008,Mississippi Portal,General Cash Grains,evtot,576382
2008,Mississippi Portal,Wheat,evtot,172432
2008,Mississippi Portal,Other Field Crops,evtot,22433
2008,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,120333
2009,Mississippi Portal,General Cash Grains,evtot,462551
2009,Mississippi Portal,Wheat,evtot,NA
2009,Mississippi Portal,Soybean,evtot,221371
2009,Mississippi Portal,Other Field Crops,evtot,17857
2009,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,58699
2009,Mississippi Portal,Corn,evtot,297843
2009,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,303997
2010,Mississippi Portal,Wheat,evtot,NA
2010,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,454298
2010,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,52042
2010,Mississippi Portal,General Cash Grains,evtot,447379
2010,Mississippi Portal,Corn,evtot,133172
2010,Mississippi Portal,Soybean,evtot,239355
2010,Mississippi Portal,Other Field Crops,evtot,21643
2011,Mississippi Portal,General Cash Grains,evtot,535943
2011,Mississippi Portal,Wheat,evtot,103697
2011,Mississippi Portal,Corn,evtot,346353
2011,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,410147
2011,Mississippi Portal,Other Field Crops,evtot,17977
2011,Mississippi Portal,Soybean,evtot,156865
2011,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,97552
2012,Mississippi Portal,Wheat,evtot,33847
2012,Mississippi Portal,Corn,evtot,489876
2012,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,64307
2012,Mississippi Portal,General Cash Grains,evtot,840611
2012,Mississippi Portal,Soybean,evtot,241150
2012,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,337296
2012,Mississippi Portal,Other Field Crops,evtot,23503
2013,Mississippi Portal,General Cash Grains,evtot,650297
2013,Mississippi Portal,Wheat,evtot,NA
2013,Mississippi Portal,Corn,evtot,300878
2013,Mississippi Portal,Soybean,evtot,277860
2013,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,440668
2013,Mississippi Portal,Other Field Crops,evtot,33663
2013,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,146192
2014,Mississippi Portal,Wheat,evtot,NA
2014,Mississippi Portal,Corn,evtot,278006
2014,Mississippi Portal,Soybean,evtot,343788
2014,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,397846
2014,Mississippi Portal,Other Field Crops,evtot,20007
2014,Mississippi Portal,General Cash Grains,evtot,618830
2014,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,27661
2015,Mississippi Portal,General Cash Grains,evtot,431009
2015,Mississippi Portal,Wheat,evtot,NA
2015,Mississippi Portal,Corn,evtot,855772
2015,Mississippi Portal,Soybean,evtot,313758
2015,Mississippi Portal,Other Field Crops,evtot,40127
2015,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,126496
2015,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,711788
2016,Mississippi Portal,Soybean,evtot,303414
2016,Mississippi Portal,Other Field Crops,evtot,16880
2016,Mississippi Portal,General Cash Grains,evtot,574067
2016,Mississippi Portal,Wheat,evtot,NA
2016,Mississippi Portal,Corn,evtot,374982
2016,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,208124
2016,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,31649
2017,Mississippi Portal,General Cash Grains,evtot,582717
2017,Mississippi Portal,Corn,evtot,740016
2017,Mississippi Portal,Soybean,evtot,435348
2017,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,461860
2017,Mississippi Portal,Other Field Crops,evtot,23321
2017,Mississippi Portal,Wheat,evtot,NA
2017,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,93661
2018,Mississippi Portal,General Cash Grains,evtot,672461
2018,Mississippi Portal,"Specialty Crops (F,V,N)",evtot,NA
2018,Mississippi Portal,Corn,evtot,336490
2018,Mississippi Portal,Soybean,evtot,402886
2018,Mississippi Portal,"Tobacco, Cotton, Peanuts",evtot,517001
2018,Mississippi Portal,Other Field Crops,evtot,36840
1996,Northern Crescent,General Cash Grains,evtot,100267
1996,Northern Crescent,Wheat,evtot,NA
1996,Northern Crescent,Soybean,evtot,15665
1996,Northern Crescent,Other Field Crops,evtot,8974
1996,Northern Crescent,"Specialty Crops (F,V,N)",evtot,83437
1996,Northern Crescent,Corn,evtot,71790
1996,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
1997,Northern Crescent,General Cash Grains,evtot,56490
1997,Northern Crescent,Wheat,evtot,18136
1997,Northern Crescent,"Specialty Crops (F,V,N)",evtot,104325
1997,Northern Crescent,Corn,evtot,31527
1997,Northern Crescent,Soybean,evtot,23013
1997,Northern Crescent,Other Field Crops,evtot,11208
1998,Northern Crescent,Wheat,evtot,NA
1998,Northern Crescent,Other Field Crops,evtot,11557
1998,Northern Crescent,General Cash Grains,evtot,79054
1998,Northern Crescent,Corn,evtot,41497
1998,Northern Crescent,Soybean,evtot,27009
1998,Northern Crescent,"Specialty Crops (F,V,N)",evtot,123172
1999,Northern Crescent,Wheat,evtot,NA
1999,Northern Crescent,General Cash Grains,evtot,49621
1999,Northern Crescent,Corn,evtot,36229
1999,Northern Crescent,Soybean,evtot,24263
1999,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
1999,Northern Crescent,Other Field Crops,evtot,11058
1999,Northern Crescent,"Specialty Crops (F,V,N)",evtot,69970
2000,Northern Crescent,Wheat,evtot,NA
2000,Northern Crescent,Corn,evtot,42953
2000,Northern Crescent,Soybean,evtot,27706
2000,Northern Crescent,Other Field Crops,evtot,22027
2000,Northern Crescent,"Specialty Crops (F,V,N)",evtot,83888
2000,Northern Crescent,General Cash Grains,evtot,77790
2001,Northern Crescent,Corn,evtot,82012
2001,Northern Crescent,Other Field Crops,evtot,12539
2001,Northern Crescent,General Cash Grains,evtot,70446
2001,Northern Crescent,Wheat,evtot,NA
2001,Northern Crescent,Soybean,evtot,22333
2001,Northern Crescent,"Specialty Crops (F,V,N)",evtot,88011
2002,Northern Crescent,General Cash Grains,evtot,68939
2002,Northern Crescent,Soybean,evtot,22536
2002,Northern Crescent,Other Field Crops,evtot,17377
2002,Northern Crescent,"Specialty Crops (F,V,N)",evtot,117881
2002,Northern Crescent,Wheat,evtot,NA
2002,Northern Crescent,Corn,evtot,45118
2002,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2003,Northern Crescent,General Cash Grains,evtot,83498
2003,Northern Crescent,Wheat,evtot,NA
2003,Northern Crescent,Soybean,evtot,23892
2003,Northern Crescent,Other Field Crops,evtot,11240
2003,Northern Crescent,"Specialty Crops (F,V,N)",evtot,124541
2003,Northern Crescent,Corn,evtot,73266
2003,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2004,Northern Crescent,Soybean,evtot,28085
2004,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2004,Northern Crescent,Other Field Crops,evtot,12737
2004,Northern Crescent,General Cash Grains,evtot,64411
2004,Northern Crescent,Wheat,evtot,11847
2004,Northern Crescent,Corn,evtot,36059
2004,Northern Crescent,"Specialty Crops (F,V,N)",evtot,134761
2005,Northern Crescent,General Cash Grains,evtot,98725
2005,Northern Crescent,Wheat,evtot,13194
2005,Northern Crescent,Corn,evtot,55896
2005,Northern Crescent,"Specialty Crops (F,V,N)",evtot,116905
2005,Northern Crescent,Soybean,evtot,27130
2005,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2005,Northern Crescent,Other Field Crops,evtot,13469
2006,Northern Crescent,General Cash Grains,evtot,89311
2006,Northern Crescent,Wheat,evtot,17446
2006,Northern Crescent,Corn,evtot,73683
2006,Northern Crescent,"Specialty Crops (F,V,N)",evtot,115805
2006,Northern Crescent,Soybean,evtot,35561
2006,Northern Crescent,Other Field Crops,evtot,11071
2007,Northern Crescent,General Cash Grains,evtot,93719
2007,Northern Crescent,Wheat,evtot,75977
2007,Northern Crescent,Soybean,evtot,32970
2007,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2007,Northern Crescent,Corn,evtot,71335
2007,Northern Crescent,Other Field Crops,evtot,17489
2007,Northern Crescent,"Specialty Crops (F,V,N)",evtot,121508
2008,Northern Crescent,Soybean,evtot,28812
2008,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2008,Northern Crescent,General Cash Grains,evtot,137112
2008,Northern Crescent,Wheat,evtot,NA
2008,Northern Crescent,Corn,evtot,94510
2008,Northern Crescent,Other Field Crops,evtot,15857
2008,Northern Crescent,"Specialty Crops (F,V,N)",evtot,139373
2009,Northern Crescent,Wheat,evtot,20049
2009,Northern Crescent,Corn,evtot,116593
2009,Northern Crescent,Soybean,evtot,67378
2009,Northern Crescent,Other Field Crops,evtot,10965
2009,Northern Crescent,"Specialty Crops (F,V,N)",evtot,141776
2009,Northern Crescent,General Cash Grains,evtot,129151
2009,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2010,Northern Crescent,General Cash Grains,evtot,148295
2010,Northern Crescent,Wheat,evtot,9750
2010,Northern Crescent,Other Field Crops,evtot,14371
2010,Northern Crescent,Corn,evtot,95570
2010,Northern Crescent,Soybean,evtot,47640
2010,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,22735
2010,Northern Crescent,"Specialty Crops (F,V,N)",evtot,98046
2011,Northern Crescent,General Cash Grains,evtot,148440
2011,Northern Crescent,Corn,evtot,133110
2011,Northern Crescent,Other Field Crops,evtot,9035
2011,Northern Crescent,"Specialty Crops (F,V,N)",evtot,95718
2011,Northern Crescent,Soybean,evtot,47806
2011,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2012,Northern Crescent,General Cash Grains,evtot,150094
2012,Northern Crescent,Wheat,evtot,40713
2012,Northern Crescent,"Specialty Crops (F,V,N)",evtot,191471
2012,Northern Crescent,Corn,evtot,135793
2012,Northern Crescent,Soybean,evtot,75822
2012,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2012,Northern Crescent,Other Field Crops,evtot,22230
2013,Northern Crescent,"Specialty Crops (F,V,N)",evtot,129687
2013,Northern Crescent,General Cash Grains,evtot,218611
2013,Northern Crescent,Wheat,evtot,NA
2013,Northern Crescent,Corn,evtot,132855
2013,Northern Crescent,Soybean,evtot,67648
2013,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2013,Northern Crescent,Other Field Crops,evtot,25357
2014,Northern Crescent,General Cash Grains,evtot,142112
2014,Northern Crescent,Wheat,evtot,66912
2014,Northern Crescent,Corn,evtot,140064
2014,Northern Crescent,Soybean,evtot,62973
2014,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,25555
2014,Northern Crescent,Other Field Crops,evtot,19666
2014,Northern Crescent,"Specialty Crops (F,V,N)",evtot,160239
2015,Northern Crescent,Wheat,evtot,19207
2015,Northern Crescent,Corn,evtot,137452
2015,Northern Crescent,Soybean,evtot,57016
2015,Northern Crescent,Other Field Crops,evtot,19781
2015,Northern Crescent,General Cash Grains,evtot,147928
2015,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2015,Northern Crescent,"Specialty Crops (F,V,N)",evtot,116972
2016,Northern Crescent,Wheat,evtot,NA
2016,Northern Crescent,Soybean,evtot,59609
2016,Northern Crescent,Other Field Crops,evtot,12478
2016,Northern Crescent,General Cash Grains,evtot,152032
2016,Northern Crescent,Corn,evtot,87051
2016,Northern Crescent,"Specialty Crops (F,V,N)",evtot,296905
2017,Northern Crescent,Corn,evtot,140301
2017,Northern Crescent,Soybean,evtot,52284
2017,Northern Crescent,"Specialty Crops (F,V,N)",evtot,159396
2017,Northern Crescent,General Cash Grains,evtot,153248
2017,Northern Crescent,Wheat,evtot,NA
2017,Northern Crescent,Other Field Crops,evtot,25166
2018,Northern Crescent,Corn,evtot,146446
2018,Northern Crescent,General Cash Grains,evtot,136739
2018,Northern Crescent,Wheat,evtot,16649
2018,Northern Crescent,Soybean,evtot,82925
2018,Northern Crescent,"Tobacco, Cotton, Peanuts",evtot,NA
2018,Northern Crescent,Other Field Crops,evtot,23254
2018,Northern Crescent,"Specialty Crops (F,V,N)",evtot,190712
1996,Northern Great Plains,Soybean,evtot,NA
1996,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,NA
1996,Northern Great Plains,General Cash Grains,evtot,100507
1996,Northern Great Plains,Wheat,evtot,67845
1996,Northern Great Plains,Corn,evtot,122570
1996,Northern Great Plains,Other Field Crops,evtot,33176
1997,Northern Great Plains,Wheat,evtot,46792
1997,Northern Great Plains,Corn,evtot,89849
1997,Northern Great Plains,Soybean,evtot,58001
1997,Northern Great Plains,General Cash Grains,evtot,83672
1997,Northern Great Plains,Other Field Crops,evtot,43168
1997,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,253265
1998,Northern Great Plains,Wheat,evtot,58239
1998,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,NA
1998,Northern Great Plains,General Cash Grains,evtot,107026
1998,Northern Great Plains,Corn,evtot,40255
1998,Northern Great Plains,Soybean,evtot,81710
1998,Northern Great Plains,Other Field Crops,evtot,42940
1999,Northern Great Plains,Corn,evtot,71997
1999,Northern Great Plains,Other Field Crops,evtot,42725
1999,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,357133
1999,Northern Great Plains,General Cash Grains,evtot,100246
1999,Northern Great Plains,Wheat,evtot,50155
1999,Northern Great Plains,Soybean,evtot,58933
2000,Northern Great Plains,General Cash Grains,evtot,153106
2000,Northern Great Plains,Wheat,evtot,63329
2000,Northern Great Plains,Corn,evtot,153764
2000,Northern Great Plains,Soybean,evtot,136102
2000,Northern Great Plains,Other Field Crops,evtot,33646
2000,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,170211
2001,Northern Great Plains,General Cash Grains,evtot,122252
2001,Northern Great Plains,Wheat,evtot,83928
2001,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,NA
2001,Northern Great Plains,Corn,evtot,165989
2001,Northern Great Plains,Soybean,evtot,48546
2001,Northern Great Plains,Other Field Crops,evtot,21637
2002,Northern Great Plains,Corn,evtot,109235
2002,Northern Great Plains,Soybean,evtot,93196
2002,Northern Great Plains,Other Field Crops,evtot,44743
2002,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,484614
2002,Northern Great Plains,General Cash Grains,evtot,112564
2002,Northern Great Plains,Wheat,evtot,73817
2003,Northern Great Plains,Soybean,evtot,166267
2003,Northern Great Plains,General Cash Grains,evtot,135778
2003,Northern Great Plains,Wheat,evtot,72926
2003,Northern Great Plains,Corn,evtot,204007
2003,Northern Great Plains,Other Field Crops,evtot,16602
2003,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,NA
2004,Northern Great Plains,Wheat,evtot,94578
2004,Northern Great Plains,Soybean,evtot,133349
2004,Northern Great Plains,Other Field Crops,evtot,30296
2004,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,NA
2004,Northern Great Plains,General Cash Grains,evtot,144134
2004,Northern Great Plains,Corn,evtot,200858
2005,Northern Great Plains,General Cash Grains,evtot,214716
2005,Northern Great Plains,Wheat,evtot,109603
2005,Northern Great Plains,Corn,evtot,225768
2005,Northern Great Plains,Soybean,evtot,139367
2005,Northern Great Plains,Other Field Crops,evtot,25187
2005,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,513467
2006,Northern Great Plains,General Cash Grains,evtot,216618
2006,Northern Great Plains,Wheat,evtot,139411
2006,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,77284
2006,Northern Great Plains,Corn,evtot,148004
2006,Northern Great Plains,Soybean,evtot,193560
2006,Northern Great Plains,Other Field Crops,evtot,24290
2007,Northern Great Plains,General Cash Grains,evtot,270011
2007,Northern Great Plains,Soybean,evtot,136443
2007,Northern Great Plains,Other Field Crops,evtot,29911
2007,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,359717
2007,Northern Great Plains,Wheat,evtot,140334
2007,Northern Great Plains,Corn,evtot,195481
2008,Northern Great Plains,General Cash Grains,evtot,336437
2008,Northern Great Plains,Wheat,evtot,145257
2008,Northern Great Plains,Other Field Crops,evtot,28187
2008,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,472360
2008,Northern Great Plains,Corn,evtot,342369
2008,Northern Great Plains,Soybean,evtot,125963
2009,Northern Great Plains,General Cash Grains,evtot,272871
2009,Northern Great Plains,Soybean,evtot,212539
2009,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,637206
2009,Northern Great Plains,Wheat,evtot,168340
2009,Northern Great Plains,Corn,evtot,210043
2009,Northern Great Plains,Other Field Crops,evtot,22863
2010,Northern Great Plains,General Cash Grains,evtot,303187
2010,Northern Great Plains,Soybean,evtot,178406
2010,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,228973
2010,Northern Great Plains,Wheat,evtot,220255
2010,Northern Great Plains,Corn,evtot,241795
2010,Northern Great Plains,Other Field Crops,evtot,32476
2011,Northern Great Plains,General Cash Grains,evtot,453365
2011,Northern Great Plains,Wheat,evtot,178310
2011,Northern Great Plains,Corn,evtot,340355
2011,Northern Great Plains,Other Field Crops,evtot,20220
2011,Northern Great Plains,Soybean,evtot,100097
2011,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,63167
2012,Northern Great Plains,Wheat,evtot,214527
2012,Northern Great Plains,Corn,evtot,385508
2012,Northern Great Plains,Soybean,evtot,201241
2012,Northern Great Plains,Other Field Crops,evtot,47876
2012,Northern Great Plains,General Cash Grains,evtot,402018
2012,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,571520
2013,Northern Great Plains,Wheat,evtot,198687
2013,Northern Great Plains,General Cash Grains,evtot,431441
2013,Northern Great Plains,Corn,evtot,471424
2013,Northern Great Plains,Soybean,evtot,306706
2013,Northern Great Plains,Other Field Crops,evtot,29783
2013,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,239288
2014,Northern Great Plains,Wheat,evtot,266302
2014,Northern Great Plains,Soybean,evtot,220797
2014,Northern Great Plains,General Cash Grains,evtot,477579
2014,Northern Great Plains,Corn,evtot,363233
2014,Northern Great Plains,Other Field Crops,evtot,31425
2014,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,411135
2015,Northern Great Plains,General Cash Grains,evtot,377993
2015,Northern Great Plains,Wheat,evtot,207584
2015,Northern Great Plains,Other Field Crops,evtot,48369
2015,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,570664
2015,Northern Great Plains,Corn,evtot,281506
2015,Northern Great Plains,Soybean,evtot,204213
2016,Northern Great Plains,Soybean,evtot,181521
2016,Northern Great Plains,Other Field Crops,evtot,68807
2016,Northern Great Plains,General Cash Grains,evtot,414423
2016,Northern Great Plains,Wheat,evtot,209636
2016,Northern Great Plains,Corn,evtot,361410
2016,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,NA
2017,Northern Great Plains,General Cash Grains,evtot,489379
2017,Northern Great Plains,Wheat,evtot,192566
2017,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,514155
2017,Northern Great Plains,Corn,evtot,291852
2017,Northern Great Plains,Soybean,evtot,213587
2017,Northern Great Plains,Other Field Crops,evtot,52943
2018,Northern Great Plains,Wheat,evtot,240180
2018,Northern Great Plains,Other Field Crops,evtot,36109
2018,Northern Great Plains,"Specialty Crops (F,V,N)",evtot,NA
2018,Northern Great Plains,General Cash Grains,evtot,446540
2018,Northern Great Plains,Corn,evtot,377711
2018,Northern Great Plains,Soybean,evtot,219888
1996,Prairie Gateway,General Cash Grains,evtot,78364
1996,Prairie Gateway,Corn,evtot,167936
1996,Prairie Gateway,"Tobacco, Cotton, Peanuts",evtot,130693
1996,Prairie Gateway,Wheat,evtot,69061
1996,Prairie Gateway,Soybean,evtot,286832
1996,Prairie Gateway,Other Field Crops,evtot,44765
